"TIME","GEO","CURRENCY","BOP_ITEM","SECTOR10","SECTPART","STK_FLOW","PARTNER","Value","Flag and Footnotes"
"1993","Norway","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1994","Norway","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1995","Norway","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1996","Norway","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1997","Norway","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1998","Norway","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1999","Norway","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2000","Norway","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2001","Norway","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2002","Norway","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2003","Norway","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2004","Norway","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2005","Norway","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2006","Norway","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2007","Norway","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2008","Norway","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2009","Norway","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2010","Norway","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2011","Norway","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2012","Norway","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","49,291.6",""
"2013","Norway","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","40,196.4",""
"2014","Norway","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","41,339.8",""
"2015","Norway","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","27,986.2",""
"2016","Norway","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","13,425.2",""
"2017","Norway","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","19,530.6",""
"2018","Norway","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","29,457.8",""
"2019","Norway","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","10,369.2",""
"2020","Norway","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","6,378.4",""
"1989","Switzerland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1990","Switzerland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1991","Switzerland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1992","Switzerland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1993","Switzerland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1994","Switzerland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1995","Switzerland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1996","Switzerland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1997","Switzerland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1998","Switzerland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1999","Switzerland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2000","Switzerland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":","c"
"2001","Switzerland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":","c"
"2002","Switzerland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":","c"
"2003","Switzerland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":","c"
"2004","Switzerland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":","c"
"2005","Switzerland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":","c"
"2006","Switzerland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":","c"
"2007","Switzerland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":","c"
"2008","Switzerland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":","c"
"2009","Switzerland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":","c"
"2010","Switzerland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":","c"
"2011","Switzerland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":","c"
"2012","Switzerland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","50,891.3",""
"2013","Switzerland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","54,458.2",""
"2014","Switzerland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","41,751.0",""
"2015","Switzerland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","59,862.3",""
"2016","Switzerland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","49,498.9",""
"2017","Switzerland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","36,762.5",""
"2018","Switzerland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","33,158.1",""
"2019","Switzerland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","32,423.6",""
"2020","Switzerland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","25,059.0",""
"1989","United Kingdom","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1990","United Kingdom","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1991","United Kingdom","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1992","United Kingdom","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1993","United Kingdom","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1994","United Kingdom","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1995","United Kingdom","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1996","United Kingdom","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1997","United Kingdom","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","1,857.0",""
"1998","United Kingdom","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,246.9",""
"1999","United Kingdom","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-39,636.4",""
"2000","United Kingdom","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-41,675.6",""
"2001","United Kingdom","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-39,331.0",""
"2002","United Kingdom","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-40,860.0",""
"2003","United Kingdom","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-32,322.9",""
"2004","United Kingdom","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-45,695.0",""
"2005","United Kingdom","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-40,361.7",""
"2006","United Kingdom","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-61,709.0",""
"2007","United Kingdom","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-76,512.5",""
"2008","United Kingdom","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-78,863.8",""
"2009","United Kingdom","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-57,880.6",""
"2010","United Kingdom","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-58,369.3",""
"2011","United Kingdom","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-34,704.3",""
"2012","United Kingdom","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-73,970.5",""
"2013","United Kingdom","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-102,562.1",""
"2014","United Kingdom","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-112,977.7",""
"2015","United Kingdom","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-132,659.1",""
"2016","United Kingdom","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-133,104.9",""
"2017","United Kingdom","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-88,871.0",""
"2018","United Kingdom","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-89,026.2",""
"2019","United Kingdom","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-77,684.2",""
"2020","United Kingdom","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1989","Montenegro","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1990","Montenegro","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1991","Montenegro","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1992","Montenegro","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1993","Montenegro","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1994","Montenegro","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1995","Montenegro","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1996","Montenegro","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1997","Montenegro","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1998","Montenegro","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1999","Montenegro","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2000","Montenegro","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2001","Montenegro","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2002","Montenegro","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2003","Montenegro","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2004","Montenegro","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2005","Montenegro","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2006","Montenegro","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2007","Montenegro","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2008","Montenegro","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2009","Montenegro","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2010","Montenegro","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2011","Montenegro","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2012","Montenegro","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2013","Montenegro","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-383.0",""
"2014","Montenegro","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-429.0",""
"2015","Montenegro","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-402.0",""
"2016","Montenegro","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-642.0",""
"2017","Montenegro","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-692.0",""
"2018","Montenegro","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-793.0",""
"2019","Montenegro","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-707.0",""
"2020","Montenegro","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,091.0",""
"1989","North Macedonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1990","North Macedonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1991","North Macedonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1992","North Macedonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1993","North Macedonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1994","North Macedonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1995","North Macedonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1996","North Macedonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1997","North Macedonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1998","North Macedonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1999","North Macedonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2000","North Macedonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2001","North Macedonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2002","North Macedonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2003","North Macedonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2004","North Macedonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2005","North Macedonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2006","North Macedonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2007","North Macedonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2008","North Macedonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2009","North Macedonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2010","North Macedonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2011","North Macedonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-189.3",""
"2012","North Macedonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-240.0",""
"2013","North Macedonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-134.2",""
"2014","North Macedonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-68.7",""
"2015","North Macedonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-177.1",""
"2016","North Macedonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-275.5",""
"2017","North Macedonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-102.9",""
"2018","North Macedonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-7.1",""
"2019","North Macedonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-368.3",""
"2020","North Macedonia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-366.2",""
"1989","Albania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1990","Albania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1991","Albania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1992","Albania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1993","Albania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1994","Albania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1995","Albania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1996","Albania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1997","Albania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1998","Albania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1999","Albania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2000","Albania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2001","Albania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2002","Albania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2003","Albania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2004","Albania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2005","Albania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2006","Albania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2007","Albania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2008","Albania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2009","Albania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2010","Albania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2011","Albania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2012","Albania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2013","Albania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2014","Albania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2015","Albania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-883.6",""
"2016","Albania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-811.5",""
"2017","Albania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-870.6",""
"2018","Albania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-865.7",""
"2019","Albania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,089.2",""
"2020","Albania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,153.3",""
"1989","Serbia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1990","Serbia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1991","Serbia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1992","Serbia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1993","Serbia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1994","Serbia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1995","Serbia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1996","Serbia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1997","Serbia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1998","Serbia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1999","Serbia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2000","Serbia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2001","Serbia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2002","Serbia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2003","Serbia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2004","Serbia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2005","Serbia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2006","Serbia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2007","Serbia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2008","Serbia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2009","Serbia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2010","Serbia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2011","Serbia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-3,657.0",""
"2012","Serbia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-3,672.0",""
"2013","Serbia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-2,099.0",""
"2014","Serbia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,905.0",""
"2015","Serbia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,529.0",""
"2016","Serbia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,317.0",""
"2017","Serbia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-2,049.0",""
"2018","Serbia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-2,092.0",""
"2019","Serbia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-3,273.0",""
"2020","Serbia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-2,034.0",""
"1989","Turkey","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1990","Turkey","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1991","Turkey","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1992","Turkey","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1993","Turkey","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1994","Turkey","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1995","Turkey","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1996","Turkey","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1997","Turkey","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1998","Turkey","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1999","Turkey","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2000","Turkey","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2001","Turkey","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2002","Turkey","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2003","Turkey","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2004","Turkey","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2005","Turkey","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2006","Turkey","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2007","Turkey","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2008","Turkey","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2009","Turkey","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2010","Turkey","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-34,121.9",""
"2011","Turkey","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-53,827.6",""
"2012","Turkey","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-37,208.0",""
"2013","Turkey","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-47,988.8",""
"2014","Turkey","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-33,010.1",""
"2015","Turkey","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-28,986.2",""
"2016","Turkey","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-24,218.4",""
"2017","Turkey","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-35,995.3",""
"2018","Turkey","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-17,578.7",""
"2019","Turkey","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","6,105.8",""
"2020","Turkey","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-32,885.7",""
"1989","Bosnia and Herzegovina","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1990","Bosnia and Herzegovina","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1991","Bosnia and Herzegovina","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1992","Bosnia and Herzegovina","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1993","Bosnia and Herzegovina","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1994","Bosnia and Herzegovina","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1995","Bosnia and Herzegovina","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1996","Bosnia and Herzegovina","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1997","Bosnia and Herzegovina","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1998","Bosnia and Herzegovina","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1999","Bosnia and Herzegovina","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2000","Bosnia and Herzegovina","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2001","Bosnia and Herzegovina","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2002","Bosnia and Herzegovina","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2003","Bosnia and Herzegovina","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2004","Bosnia and Herzegovina","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2005","Bosnia and Herzegovina","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2006","Bosnia and Herzegovina","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2007","Bosnia and Herzegovina","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2008","Bosnia and Herzegovina","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2009","Bosnia and Herzegovina","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2010","Bosnia and Herzegovina","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-782.8",""
"2011","Bosnia and Herzegovina","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,269.8",""
"2012","Bosnia and Herzegovina","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,158.7",""
"2013","Bosnia and Herzegovina","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-728.4",""
"2014","Bosnia and Herzegovina","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,025.1",""
"2015","Bosnia and Herzegovina","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-745.3",""
"2016","Bosnia and Herzegovina","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-727.9",""
"2017","Bosnia and Herzegovina","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-777.3",""
"2018","Bosnia and Herzegovina","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-559.3",""
"2019","Bosnia and Herzegovina","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-503.5",""
"2020","Bosnia and Herzegovina","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-657.5",""
"1989","Kosovo (under United Nations Security Council Resolution 1244/99)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1990","Kosovo (under United Nations Security Council Resolution 1244/99)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1991","Kosovo (under United Nations Security Council Resolution 1244/99)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1992","Kosovo (under United Nations Security Council Resolution 1244/99)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1993","Kosovo (under United Nations Security Council Resolution 1244/99)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1994","Kosovo (under United Nations Security Council Resolution 1244/99)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1995","Kosovo (under United Nations Security Council Resolution 1244/99)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1996","Kosovo (under United Nations Security Council Resolution 1244/99)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1997","Kosovo (under United Nations Security Council Resolution 1244/99)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1998","Kosovo (under United Nations Security Council Resolution 1244/99)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1999","Kosovo (under United Nations Security Council Resolution 1244/99)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2000","Kosovo (under United Nations Security Council Resolution 1244/99)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2001","Kosovo (under United Nations Security Council Resolution 1244/99)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2002","Kosovo (under United Nations Security Council Resolution 1244/99)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
